id,person_id,total_cases,resolved_cases,unresolved_cases,favorable_cases,unfavorable_cases,mixed_cases,case_outcome,last_updated,created_at
146,39368,1,0,1,0,1,0,Mixed,2025-09-15 08:49:15+00:00,2025-09-13 12:43:42+00:00
147,39369,1,0,1,0,1,0,Mixed,2025-09-15 08:49:15+00:00,2025-09-13 12:43:42+00:00
148,39370,0,0,0,0,0,0,N/A,2025-09-13 12:46:06+00:00,2025-09-13 12:43:42+00:00
149,39371,2,1,1,1,0,0,Favorable,2025-09-13 12:46:06+00:00,2025-09-13 12:43:42+00:00
150,39372,1,0,1,0,1,0,Mixed,2025-09-15 08:49:15+00:00,2025-09-13 12:43:42+00:00
151,39373,1,0,1,0,1,0,Mixed,2025-09-15 08:49:15+00:00,2025-09-13 12:43:42+00:00
152,39374,1,0,1,0,1,0,Mixed,2025-09-15 08:49:16+00:00,2025-09-13 12:43:42+00:00
153,39375,2,0,2,0,2,0,Mixed,2025-09-15 08:49:16+00:00,2025-09-13 12:43:42+00:00
154,39376,2,1,1,0,1,0,Unfavorable,2025-09-13 12:46:07+00:00,2025-09-13 12:43:42+00:00
155,39377,1,0,1,0,1,0,Mixed,2025-09-15 08:49:16+00:00,2025-09-13 12:43:42+00:00
156,39378,4,1,3,1,0,0,Favorable,2025-09-13 12:46:07+00:00,2025-09-13 12:43:42+00:00
157,39379,1,0,1,0,1,0,Mixed,2025-09-15 08:49:16+00:00,2025-09-13 12:43:42+00:00
158,39380,1,0,1,0,1,0,Mixed,2025-09-15 08:49:16+00:00,2025-09-13 12:43:42+00:00
159,39381,1,0,1,0,1,0,Mixed,2025-09-15 08:49:16+00:00,2025-09-13 12:43:42+00:00
160,39382,1,0,1,0,1,0,Mixed,2025-09-15 08:49:17+00:00,2025-09-13 12:43:42+00:00
161,39383,1,0,1,0,0,0,N/A,2025-09-13 12:46:08+00:00,2025-09-13 12:43:42+00:00
162,39384,2,0,2,0,2,0,Mixed,2025-09-15 08:49:17+00:00,2025-09-13 12:43:42+00:00
163,39385,3,0,3,0,3,0,Mixed,2025-09-15 08:49:17+00:00,2025-09-13 12:43:42+00:00
164,39386,1,0,1,0,1,0,Mixed,2025-09-15 08:49:17+00:00,2025-09-13 12:43:42+00:00
165,39387,1,0,1,0,1,0,Mixed,2025-09-15 08:49:17+00:00,2025-09-13 12:43:42+00:00
166,39388,6,0,6,0,6,0,Mixed,2025-09-15 08:49:17+00:00,2025-09-13 12:43:42+00:00
167,39389,7,2,5,2,0,0,Favorable,2025-09-13 12:46:09+00:00,2025-09-13 12:43:42+00:00
168,39390,1,0,1,0,1,0,Mixed,2025-09-15 08:49:18+00:00,2025-09-13 12:43:42+00:00
169,39391,1,0,1,0,1,0,Mixed,2025-09-15 08:49:18+00:00,2025-09-13 12:43:42+00:00
170,39392,0,0,0,0,0,0,N/A,2025-09-13 12:46:09+00:00,2025-09-13 12:43:42+00:00
171,39393,4,0,4,0,4,0,Mixed,2025-09-15 08:49:18+00:00,2025-09-13 12:43:42+00:00
172,39394,2,0,2,0,2,0,Mixed,2025-09-15 08:49:18+00:00,2025-09-13 12:43:42+00:00
173,39395,2,0,2,0,2,0,Mixed,2025-09-15 08:49:18+00:00,2025-09-13 12:43:42+00:00
174,39396,1,0,1,0,1,0,Mixed,2025-09-15 08:49:18+00:00,2025-09-13 12:43:42+00:00
175,39397,1,0,1,0,1,0,Mixed,2025-09-15 08:49:19+00:00,2025-09-13 12:43:42+00:00
176,39398,1,0,1,0,1,0,Mixed,2025-09-15 08:49:19+00:00,2025-09-13 12:43:42+00:00
177,39399,1,0,1,0,1,0,Mixed,2025-09-15 08:49:19+00:00,2025-09-13 12:43:42+00:00
178,39400,1,0,1,0,1,0,Mixed,2025-09-15 08:49:19+00:00,2025-09-13 12:43:42+00:00
179,39401,16,0,16,0,0,0,N/A,2025-09-13 12:46:11+00:00,2025-09-13 12:43:42+00:00
180,39402,2,0,2,0,2,0,Mixed,2025-09-15 08:49:19+00:00,2025-09-13 12:43:42+00:00
181,39403,0,0,0,0,0,0,N/A,2025-09-13 12:46:11+00:00,2025-09-13 12:43:42+00:00
182,39404,1,0,1,0,0,0,N/A,2025-09-13 12:46:11+00:00,2025-09-13 12:43:42+00:00
183,39405,1,0,1,0,1,0,Mixed,2025-09-15 08:49:20+00:00,2025-09-13 12:43:42+00:00
184,39406,1,0,1,0,1,0,Mixed,2025-09-15 08:49:20+00:00,2025-09-13 12:43:42+00:00
185,39407,1,0,1,0,0,0,N/A,2025-09-13 12:46:12+00:00,2025-09-13 12:43:42+00:00
186,39408,5,0,5,0,5,0,Mixed,2025-09-15 08:49:20+00:00,2025-09-13 12:43:42+00:00
187,39409,1,0,1,0,1,0,Mixed,2025-09-15 08:49:20+00:00,2025-09-13 12:43:42+00:00
188,39410,0,0,0,0,0,0,N/A,2025-09-13 12:46:12+00:00,2025-09-13 12:43:42+00:00
189,39411,1,0,1,0,1,0,Mixed,2025-09-15 08:49:20+00:00,2025-09-13 12:43:42+00:00
190,39412,2,1,1,1,0,0,Favorable,2025-09-13 12:46:12+00:00,2025-09-13 12:43:42+00:00
191,39413,2,0,2,0,2,0,Mixed,2025-09-15 08:49:21+00:00,2025-09-13 12:43:42+00:00
192,39414,1,0,1,0,1,0,Mixed,2025-09-15 08:49:21+00:00,2025-09-13 12:43:42+00:00
193,39415,1,0,1,0,1,0,Mixed,2025-09-15 08:49:21+00:00,2025-09-13 12:43:42+00:00
194,39416,1,0,1,0,1,0,Mixed,2025-09-15 08:49:21+00:00,2025-09-13 12:43:42+00:00
195,39417,1,0,1,0,1,0,Mixed,2025-09-15 08:49:21+00:00,2025-09-13 12:43:42+00:00
196,39418,0,0,0,0,0,0,N/A,2025-09-13 12:46:13+00:00,2025-09-13 12:43:42+00:00
197,39419,4,0,4,0,4,0,Mixed,2025-09-15 08:49:21+00:00,2025-09-13 12:43:42+00:00
198,39420,2,1,1,1,0,0,Favorable,2025-09-13 12:46:14+00:00,2025-09-13 12:43:42+00:00
199,39421,2,0,2,0,2,0,Mixed,2025-09-15 08:49:22+00:00,2025-09-13 12:43:42+00:00
200,39422,1,0,1,0,0,0,N/A,2025-09-13 12:46:14+00:00,2025-09-13 12:43:42+00:00
201,39423,5,0,5,0,5,0,Mixed,2025-09-15 08:49:22+00:00,2025-09-13 12:43:42+00:00
